episode,outcome,score_margin,blue_strategic_score,red_strategic_score,blue_reward,red_reward,mean_tension,final_tension,final_stability,military_balance,coalition_strength,resource_leverage,clamps,commitments_blue,commitments_red,blue_unique_actions,red_unique_actions,blue_entropy_norm,red_entropy_norm
0,draw,-0.0955309108493797,0.08930714457531011,0.1848380554246898,-14.537034918290296,-7.8811310541236645,0.7426576021823167,0.82,0.45,0.49211874457531024,0.8919199999999998,0.43000000000000005,0,0,1,5,5,0.4697444429128661,0.36184250080208197
1,draw,-0.10048573224937013,0.08660653387531489,0.18709226612468502,-12.823448898977121,-7.790496562268861,0.7392614915707514,0.82,0.4575438955200978,0.489864533875315,0.8911999999999999,0.43000000000000005,0,3,4,7,6,0.5257386334278071,0.4359175109583589
2,draw,-0.09828371084937959,0.08655434457531022,0.1848380554246898,-10.680874106152148,-5.121328938363103,0.7396457041146784,0.82,0.45,0.49211874457531024,0.8874799999999999,0.43000000000000005,0,0,1,6,6,0.47775547187951595,0.3876638790087609
3,draw,-0.09699571813029895,0.0886119409348505,0.18560765906514945,-8.93929595341557,-8.129708651890434,0.7389227573710311,0.82,0.4527563077831413,0.49134914093485055,0.8920399999999999,0.43000000000000005,0,1,2,8,5,0.5307648953352532,0.36268817201314896
4,draw,-0.08791784139750158,0.09344847930124925,0.18136632069875083,-13.348730458345722,-8.277776707193489,0.7303321085610143,0.82,0.45,0.4955904793012492,0.893,0.43000000000000005,0,0,0,5,4,0.4724715939474117,0.34203958419193753
5,draw,-0.09895331084937964,0.08588474457531017,0.1848380554246898,-13.631146011166003,-5.069797348951332,0.7295028790497382,0.82,0.45,0.49211874457531024,0.8863999999999999,0.43000000000000005,0,0,1,6,6,0.4832085188975491,0.38270306381031405
6,draw,-0.09858131084937966,0.08625674457531016,0.1848380554246898,-9.205071450612364,-4.064041660708085,0.7324874718724043,0.82,0.45,0.49211874457531024,0.8869999999999999,0.43000000000000005,0,0,1,6,6,0.4871431943701977,0.40739713030368213
7,draw,-0.09486131084937954,0.08997674457531027,0.1848380554246898,-10.792622285726507,-8.886059194906796,0.7356547373857469,0.82,0.45,0.49211874457531024,0.893,0.43000000000000005,0,0,1,5,6,0.46893502835614176,0.3850171350691243
8,draw,-0.10198051813029896,0.08362714093485049,0.18560765906514945,-9.124304956961902,-5.985794209223725,0.7372568337341661,0.82,0.4567743200813589,0.49134914093485055,0.8839999999999999,0.43000000000000005,0,1,2,7,5,0.5020545913329141,0.365654738496608
9,draw,-0.09642371084937967,0.08841434457531014,0.1848380554246898,-14.050290626599725,-10.180342537964496,0.735725687169504,0.82,0.45,0.49211874457531024,0.8904799999999998,0.43000000000000005,0,0,1,6,4,0.4839904384761383,0.3390678918636605
10,draw,-0.09870691813029897,0.08690074093485048,0.18560765906514945,-11.05524720765522,-10.412458664101948,0.7224331478432632,0.82,0.45,0.49134914093485055,0.8892799999999998,0.43000000000000005,0,1,2,7,5,0.5176029067799891,0.3978136225641917
11,draw,-0.10184608970660547,0.08451275514669723,0.1863588448533027,-14.204882437022306,-6.977290391401014,0.7451777328481543,0.82,0.45,0.49059795514669735,0.8866399999999999,0.43000000000000005,0,2,3,6,6,0.5000292739338836,0.41181809395407193
12,draw,-0.09679571084937971,0.0880423445753101,0.1848380554246898,-11.512743852501167,-6.934028544404525,0.729224495982686,0.82,0.45,0.49211874457531024,0.8898799999999998,0.43000000000000005,0,0,1,6,6,0.49633747172282233,0.39409625178048535
13,draw,-0.09640051813029893,0.08920714093485052,0.18560765906514945,-9.186761299412268,-8.35047110199936,0.7455619570404683,0.82,0.45,0.49134914093485055,0.893,0.43000000000000005,0,1,2,7,6,0.517728693870166,0.3841677385870247
14,draw,-0.09640051813029893,0.08920714093485052,0.18560765906514945,-10.561822740608946,-6.02812200009337,0.7332813862865802,0.82,0.45,0.49134914093485055,0.893,0.43000000000000005,0,1,2,7,6,0.5197304087242455,0.3923842046013517
15,draw,-0.09783731084937963,0.08700074457531018,0.1848380554246898,-14.169202942365702,-4.233958699363141,0.7485412325433286,0.82,0.45,0.49211874457531024,0.8881999999999999,0.43000000000000005,0,0,1,5,6,0.4492834450178366,0.3918973411629387
16,draw,-0.09790288970660532,0.08845595514669738,0.1863588448533027,-8.842206264537985,-5.840844025189892,0.7499501208596725,0.82,0.4564961519765344,0.49059795514669735,0.893,0.43000000000000005,0,2,3,7,6,0.526276290450142,0.42158636217833545
17,draw,-0.09798611084937969,0.08685194457531012,0.1848380554246898,-8.578875932088748,-10.823857540564395,0.7361256862494098,0.82,0.45,0.49211874457531024,0.8879599999999999,0.43000000000000005,0,0,1,7,5,0.5090881034363445,0.3494129899046363
18,draw,-0.09924208970660542,0.08711675514669728,0.1863588448533027,-9.448854860956581,-9.42264549464378,0.7465405315824525,0.82,0.454481798958474,0.49059795514669735,0.8908399999999999,0.43000000000000005,0,2,3,7,4,0.5112109058292824,0.354721826029201
19,draw,-0.09714451813029895,0.0884631409348505,0.18560765906514945,-12.316894841076177,-4.464159944561718,0.7538552627261289,0.82,0.45,0.49134914093485055,0.8917999999999999,0.43000000000000005,0,1,2,7,6,0.47543090333505816,0.41479877270568566
20,draw,-0.09991168970660541,0.08644715514669729,0.1863588448533027,-8.743254129808296,-14.723069780672601,0.7553413336849938,0.82,0.45,0.49059795514669735,0.8897599999999999,0.43000000000000005,0,2,3,7,4,0.5323322367894431,0.3133431258565249
21,draw,-0.10117648970660542,0.08518235514669728,0.1863588448533027,-12.542598641724545,-4.326914441368098,0.7492115059579837,0.82,0.4512873348287443,0.49059795514669735,0.8877199999999998,0.43000000000000005,0,2,3,6,6,0.49691602501132187,0.4087704474060056
22,draw,-0.09858131084937966,0.08625674457531016,0.1848380554246898,-11.595771757844366,-10.762588444262311,0.7273032078220598,0.82,0.45,0.49211874457531024,0.8869999999999999,0.43000000000000005,0,0,1,6,5,0.5018639225419609,0.36063705048732303
23,draw,-0.09983728970660549,0.08652155514669721,0.1863588448533027,-9.794792698817329,-5.966350806973142,0.7450603901265527,0.82,0.45,0.49059795514669735,0.8898799999999998,0.43000000000000005,0,2,3,6,6,0.5102564381975382,0.407261193119114
24,draw,-0.09486131084937954,0.08997674457531027,0.1848380554246898,-12.427609213981588,-6.347501226848433,0.7407834281829394,0.82,0.45,0.49211874457531024,0.893,0.43000000000000005,0,0,1,5,5,0.4668733856036788,0.38930480218828495
25,draw,-0.08791784139750175,0.09344847930124908,0.18136632069875083,-11.028455661166014,-3.5933429654671483,0.735833975185255,0.82,0.45,0.4955904793012492,0.8929999999999998,0.43000000000000005,0,0,0,6,5,0.4885522046686954,0.38643972459989984
26,draw,-0.10131091813029902,0.08429674093485043,0.18560765906514945,-11.440040338132423,-11.01331350462642,0.7375549874045839,0.82,0.45,0.49134914093485055,0.8850799999999999,0.43000000000000005,0,1,2,7,5,0.5056794944341275,0.3962266364416046
27,draw,-0.09486131084937954,0.08997674457531027,0.1848380554246898,-7.968676936789,-12.047728808484699,0.7502292923330077,0.82,0.45,0.49211874457531024,0.893,0.43000000000000005,0,0,1,6,5,0.4971574075061836,0.3312139558222355
28,draw,-0.09501011084937966,0.08982794457531015,0.1848380554246898,-9.14827167944049,-6.326909430786576,0.7278887760212569,0.82,0.45,0.49211874457531024,0.8927599999999999,0.43000000000000005,0,0,1,6,6,0.4980195659909094,0.3988344118841748
29,draw,-0.09989731813029895,0.0857103409348505,0.18560765906514945,-10.45892967211913,-10.831116864016371,0.7334855289541456,0.82,0.45848174980320405,0.49134914093485055,0.8873599999999999,0.43000000000000005,0,1,2,7,5,0.5149852238749688,0.3627400283743118
30,draw,-0.09818611813029898,0.08742154093485047,0.18560765906514945,-7.778202078154416,-12.0142720664483,0.7473907605994796,0.82,0.4577776540886469,0.49134914093485055,0.8901199999999999,0.43000000000000005,0,1,2,7,4,0.5197678234866866,0.3421428468387666
31,draw,-0.09486131084937954,0.08997674457531027,0.1848380554246898,-12.075887869476269,-8.274635335486579,0.736243483524914,0.82,0.45,0.49211874457531024,0.893,0.43000000000000005,0,0,1,5,6,0.46541930768306294,0.38373698957813335
32,draw,-0.09640051813029893,0.08920714093485052,0.18560765906514945,-8.866556002844995,-11.53912207926495,0.7550601222763677,0.82,0.45,0.49134914093485055,0.893,0.43000000000000005,0,1,2,7,4,0.5257128812821157,0.33435492245705284
33,draw,-0.10049251813029902,0.08511514093485043,0.18560765906514945,-14.261996757028557,-6.603642017824369,0.7476983622116841,0.82,0.45065963941295156,0.49134914093485055,0.8863999999999999,0.43000000000000005,0,1,2,6,6,0.4612536353305393,0.4170161920899021
34,draw,-0.08881064139750167,0.09255567930124917,0.18136632069875083,-8.995126811395375,-6.852481404635356,0.7288778345190013,0.82,0.45,0.4955904793012492,0.8915599999999999,0.43000000000000005,0,0,0,6,4,0.50050248655154,0.3469813432782932
35,draw,-0.08955464139750169,0.09181167930124914,0.18136632069875083,-9.097352816447112,-7.886576661049882,0.7355261118498874,0.82,0.45,0.4955904793012492,0.8903599999999999,0.43000000000000005,0,0,0,7,5,0.5199299038476421,0.4001269872378125
36,draw,-0.10065568970660549,0.08570315514669721,0.1863588448533027,-13.24853876747958,-4.046569295030993,0.7467866128852948,0.82,0.45671215198014287,0.49059795514669735,0.8885599999999998,0.43000000000000005,0,2,3,6,6,0.49703363782476356,0.4193197558119725
37,draw,-0.08948024139750171,0.09188607930124912,0.18136632069875083,-12.547286060993068,-8.503990638971786,0.735728218079854,0.82,0.45,0.4955904793012492,0.8904799999999998,0.43000000000000005,0,0,0,5,4,0.473804223827479,0.32607614190456885
38,draw,-0.09968848970660543,0.08667035514669727,0.1863588448533027,-7.7129681541228035,-6.6666422854290275,0.7476524473913879,0.82,0.450062137572913,0.49059795514669735,0.8901199999999999,0.43000000000000005,0,2,3,7,5,0.5181054722340875,0.4155054600345785
39,draw,-0.09620051084937964,0.08863754457531017,0.1848380554246898,-11.917447395850564,-14.179208071366057,0.7476249892812191,0.82,0.45,0.49211874457531024,0.8908399999999999,0.43000000000000005,0,0,1,6,5,0.4981957481851955,0.30423760546907264
40,draw,-0.09486131084937954,0.08997674457531027,0.1848380554246898,-11.369664363789928,-12.966657741146737,0.752951069945973,0.82,0.45,0.49211874457531024,0.893,0.43000000000000005,0,0,1,6,6,0.4727727182531835,0.3684450763374219
41,draw,-0.09640051813029893,0.08920714093485052,0.18560765906514945,-7.600740522418141,-6.29620150561933,0.750623261625628,0.82,0.45,0.49134914093485055,0.893,0.43000000000000005,0,1,2,7,6,0.5181054722340875,0.42291322236387363
